mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.5529603481292726,0.2222567403001417,0.10020818710327148,0.015552174427567317,200,10,4,20,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 20, 'class_weight': 'balanced'}",0.7242247904948698,0.7489047041158443,0.7392860183010853,0.7576386269332327,0.7481938549353953,0.7436495989560854,0.011316565877320146,5
2.086741018295288,0.12899983078281088,0.06656446456909179,0.008597684190022395,100,2,1,,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'class_weight': 'balanced'}",0.7176014407902301,0.7313805119712293,0.7182215963385807,0.731181773230383,0.7359991863441425,0.726876901734913,0.0075230178450547995,29
4.880672264099121,0.07528226687547411,0.1375525951385498,0.008605173274536396,300,10,4,20,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 20, 'class_weight': 'balanced'}",0.7220804819801385,0.7449871134020618,0.7404040404040404,0.7629533402073467,0.7507912619852919,0.7442432475957759,0.013412122023836341,3
1.7387217998504638,0.09583534215680632,0.0578577995300293,0.009353397313643558,100,2,4,,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None, 'class_weight': 'balanced'}",0.7127248883990402,0.742398488045075,0.7312659366887758,0.7632817527035722,0.7398834211048803,0.7379108973882688,0.01640853540477649,25
1.7373297691345215,0.10134057391621881,0.050066804885864256,0.001106638922347461,100,10,2,20,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 20, 'class_weight': 'balanced'}",0.714596659559346,0.7515180284676013,0.7458021189793549,0.7496246953101298,0.7442796048010738,0.7411642214235011,0.013533898103845334,13
5.563515615463257,0.08181035113424451,0.13944602012634277,0.003638368367063537,300,2,1,20,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'class_weight': 'balanced'}",0.7143794251265871,0.7480392156862745,0.7351354957058284,0.7299285414039512,0.7461407501053519,0.7347246856055986,0.012204135594396044,27
3.3063263416290285,0.07699046370922441,0.09403719902038574,0.010272479809406317,200,5,4,20,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'class_weight': 'balanced'}",0.7177842755035737,0.7426075385684539,0.7392860183010853,0.7586926340546113,0.7453791242093485,0.7407499181274145,0.013239222796853014,16
3.229682111740112,0.1463526218049935,0.09140477180480958,0.007998865109557248,200,10,4,40,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 40, 'class_weight': 'balanced'}",0.7254182554821849,0.7472527613797643,0.7379595951304847,0.7569092699304312,0.7509985893149651,0.743707694247566,0.01102316167148474,4
1.4464301586151123,0.05311195972085628,0.056617212295532224,0.020411923086846438,100,10,2,10,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 10, 'class_weight': 'balanced'}",0.714440042749535,0.749365142498738,0.7303297340102115,0.7544621031973001,0.7464400454417448,0.739007413579506,0.014698515762830456,20
1.8162975788116456,0.1039343349453741,0.05162210464477539,0.00386411159914762,100,5,2,,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'class_weight': 'balanced'}",0.7191256830601094,0.7474002541163729,0.7464517704517705,0.7409344405657965,0.7501212908092012,0.7408066878006501,0.011244431434564182,15
1.4161875247955322,0.031016770015299934,0.04535064697265625,0.0032486323564421492,100,2,2,10,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10, 'class_weight': 'balanced'}",0.7259944918868371,0.7365156501501964,0.7297930664072396,0.7504168213120208,0.7500271252557639,0.7385494310024115,0.010109491577801964,23
